Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2020-07-01,88.485,196.1201,143.935,485.64,236.2539,71.4771,52.4277,52.58,9.4987,32.8321,175.2282,20.5639,80.762,40.5341
2020-07-02,88.485,197.6148,144.515,476.89,232.1464,72.8022,52.713,52.34,9.5807,33.2218,175.0774,20.5904,81.0244,40.6874
2020-07-06,90.852,201.8687,152.852,493.81,238.969,74.3431,53.0785,53.4,9.8069,34.0986,183.9111,20.9175,83.0705,41.5643
2020-07-07,90.5701,199.5213,150.006,493.16,239.5458,73.8202,51.982,52.93,9.8393,32.9296,176.8158,20.3429,80.7271,40.4319
2020-07-08,92.6795,203.9094,154.0556,502.78,242.251,74.358,52.2494,53.43,10.1824,33.4167,179.379,20.4225,81.584,41.6409
2020-07-09,93.078,205.3369,159.1315,507.76,243.166,75.1031,52.08,57.255,10.4745,32.0527,174.5719,20.1307,79.8177,40.449
2020-07-10,93.2409,204.7142,160.0,548.73,243.7329,76.6315,53.0696,55.88,10.4448,32.5886,182.3147,21.2358,84.1811,42.3986
2020-07-13,92.8107,198.3908,155.2,525.5,237.696,75.1205,52.2227,53.59,10.0192,32.6372,185.2593,21.3861,85.3878,42.7562
2020-07-14,94.3466,199.6172,154.2,524.88,238.422,75.5797,52.5793,54.72,10.3429,33.514,189.8091,21.3419,85.8774,42.9946
2020-07-15,94.9955,199.3202,150.4435,523.26,238.969,75.2348,52.6238,55.34,10.1937,34.7806,192.3723,21.7486,87.2066,43.7183
2020-07-16,93.8265,195.3728,149.995,527.39,239.6155,75.4515,52.7219,54.92,10.1015,34.3421,190.3945,21.1562,87.4514,44.8165
2020-07-17,93.637,194.3764,148.0985,492.99,240.7095,75.3297,53.4886,55.04,10.168,34.4396,187.5032,20.5285,85.8337,44.6207
2020-07-20,95.6103,202.7309,159.8421,502.41,244.081,77.8234,54.5138,57.46,10.4762,33.4653,187.7692,20.8468,85.0817,44.1525
2020-07-21,94.2907,200.0004,156.9145,490.1,240.431,77.4606,54.1126,57.0,10.2946,34.2935,188.0442,21.5894,86.9268,44.5952
2020-07-22,94.5556,202.8746,154.9955,489.82,238.5612,77.9611,54.4246,61.79,10.4045,34.3909,182.7049,21.4922,86.2972,43.4203
2020-07-23,90.2518,194.0507,149.3275,477.58,231.3309,75.3362,53.8452,59.57,10.0965,34.2935,180.0619,21.6955,86.5508,43.0457
2020-07-24,90.0282,192.8627,150.4455,480.45,229.4512,75.1468,45.0998,69.4,10.161,33.4167,178.6872,21.5276,85.9387,42.7222
2020-07-27,92.1619,195.3058,152.7605,495.65,232.226,76.0579,44.1905,68.97,10.3873,32.6859,180.0619,21.3419,84.7319,43.6927
2020-07-28,90.6479,193.5525,150.0165,488.51,228.8644,74.5737,43.8963,67.61,10.1819,33.5628,178.8202,21.5364,85.0992,42.7903
2020-07-29,92.3855,195.507,151.6765,484.48,232.0172,75.6513,42.8533,76.09,10.4311,32.1014,179.6717,22.3409,87.1629,43.0712
2020-07-30,93.5033,195.3537,152.594,485.8,233.2205,76.12,42.7819,78.2,10.5791,30.4939,176.9666,21.9608,84.8369,41.9653
2020-07-31,103.2921,196.4172,158.234,488.88,252.286,73.7099,42.5502,77.43,10.5799,29.5684,175.5741,21.9961,84.5046,41.9053
2020-08-03,105.8948,207.4639,155.5945,498.62,250.5853,73.2869,43.0583,77.67,10.9741,29.7633,176.8424,22.0934,84.0324,42.4025
2020-08-04,106.602,204.3501,156.9415,509.64,248.4669,72.8157,43.7982,85.04,11.1909,29.9094,178.838,22.1111,83.5515,42.2311
2020-08-05,106.9884,204.0148,160.2515,502.11,247.7608,73.2451,43.611,85.31,11.2497,31.1759,181.3923,22.447,85.003,42.6683
2020-08-06,110.7211,207.2818,161.25,509.08,263.8326,74.5618,43.5931,86.71,11.2983,30.8349,181.1528,22.5177,85.0293,42.3939
2020-08-07,108.2038,203.5741,158.373,494.73,266.9754,74.2829,43.1084,84.85,11.1627,31.1759,184.7182,23.0836,86.9005,43.1655
2020-08-10,109.7765,199.5213,157.408,483.38,261.565,74.363,44.1765,82.24,11.1283,32.4911,185.7027,23.4814,88.0023,43.3627
2020-08-11,106.5118,194.8555,154.0335,466.93,254.7325,73.5786,43.252,76.88,10.8144,32.7834,187.1927,23.7997,90.783,44.3915
2020-08-12,110.0516,200.4219,158.112,475.47,258.472,74.8859,44.1495,82.61,11.4027,32.7347,188.1417,23.6317,90.0135,44.9059
2020-08-13,111.9992,199.9525,158.051,481.33,259.8743,75.4739,43.5841,81.84,11.4054,32.1501,184.8247,23.2957,89.5151,44.7344
2020-08-14,111.8994,200.1441,157.401,482.68,259.8147,74.941,43.8803,81.3,11.526,32.4424,184.4522,23.4018,89.55,44.8373
2020-08-17,111.6073,201.4663,159.1205,482.35,259.7351,75.4505,43.9162,82.42,12.2965,31.5169,180.1063,22.8979,87.1891,43.9628
2020-08-18,112.5373,202.6255,165.6245,491.87,260.9087,77.4695,43.6649,81.66,12.2205,31.3707,178.5453,22.5708,85.9736,43.6542
2020-08-19,112.6785,201.3962,163.024,484.53,261.1573,76.9193,43.3776,81.09,12.0986,31.0785,180.0619,22.5443,86.1747,44.04
2020-08-20,115.1788,206.083,164.8685,497.9,267.5423,78.6202,44.1316,82.77,12.1011,30.5426,179.0242,22.1906,85.1429,43.5513
2020-08-21,121.1142,204.5848,164.236,492.31,265.5532,78.5541,44.2303,83.81,12.6418,30.7375,179.5386,22.0845,85.0992,43.8085
2020-08-24,122.5628,205.2282,165.373,488.81,269.9093,78.9408,44.1046,83.08,12.6785,32.2962,183.8934,22.7122,87.4951,44.8973
2020-08-25,121.5573,207.8982,167.3245,490.58,279.2878,79.9358,44.3649,86.35,12.7081,32.1014,182.7049,22.9863,87.8799,44.6229
2020-08-26,123.2104,212.3928,172.0925,547.53,302.2518,82.1308,44.4726,86.02,12.731,31.5656,183.787,22.5973,86.6469,44.3315
2020-08-27,121.7375,217.6078,170.0,526.27,291.6202,81.2336,44.338,83.8,12.5868,31.5656,186.3856,23.0305,89.4976,45.103
2020-08-28,121.5403,219.8455,170.09,523.89,292.0578,81.7347,45.2625,85.55,13.1046,32.1988,184.2216,23.2515,89.8648,45.3431
2020-08-31,125.662,216.5994,172.548,529.56,291.6003,81.2262,45.7292,90.82,13.3306,30.8836,182.8028,22.7564,87.6088,44.803
2020-09-01,130.6674,218.2705,174.956,556.55,293.8281,82.5448,45.5856,92.18,13.7797,30.1529,183.3293,22.7299,87.5651,45.0773
2020-09-02,127.9602,222.477,176.5725,552.84,300.8495,85.9034,46.896,90.22,14.3036,31.3707,187.4159,23.004,88.8855,45.6517
2020-09-03,117.7156,208.6953,168.4,525.75,289.5316,81.6069,45.2266,82.54,12.9766,30.7861,185.2031,22.8437,88.6057,45.2231
2020-09-04,117.7935,205.7661,164.731,516.05,281.1874,79.0819,44.9483,82.01,12.5848,31.2733,188.219,23.6272,90.5206,45.1888
2020-09-08,109.8666,194.635,157.492,507.02,269.6805,76.1667,43.8982,78.69,11.8774,29.9094,180.6703,22.6835,87.3727,43.0112
2020-09-09,114.2488,202.9233,163.4306,500.19,272.2266,77.388,44.5355,81.91,12.677,30.0068,180.4383,22.7102,88.2034,43.7742
2020-09-10,110.519,197.2377,158.7555,480.67,266.6273,76.1484,43.9431,78.98,12.275,29.2274,178.4663,22.3808,87.294,43.1141
2020-09-11,109.068,195.9508,155.811,482.03,265.1554,75.5867,44.2303,76.34,12.1282,28.9838,179.2783,22.7013,88.3783,43.1655
2020-09-14,112.3401,197.2761,155.1485,476.26,264.6979,75.5151,44.347,77.9,12.8338,29.958,179.6531,22.9239,89.6025,43.8514
2020-09-15,112.5154,200.5127,157.8065,495.99,270.9337,76.6166,44.8765,78.93,12.9522,29.7145,176.6728,22.5055,86.8131,43.1998
2020-09-16,109.1946,196.9304,153.905,483.86,262.0822,75.5956,45.2086,76.66,12.4771,32.8808,179.0641,22.7903,87.1803,43.8514
2020-09-17,107.4515,194.8751,150.4365,470.2,253.4297,74.3346,45.1637,76.55,12.4263,34.3421,173.8443,22.5678,86.1835,43.0798
2020-09-18,104.0431,192.4549,147.7455,469.96,251.1522,72.5681,44.7778,74.93,12.1528,33.514,173.871,22.4431,85.9999,42.934
2020-09-21,107.1983,194.5198,148.0235,487.35,246.7961,71.1352,44.6252,77.94,12.4799,30.9324,173.1037,21.7844,83.3416,41.4595
2020-09-22,108.883,199.2065,156.4495,491.17,253.3601,72.84,44.8316,77.7,12.6,30.4451,170.98,21.3125,82.4322,40.8336
2020-09-23,104.3158,192.647,149.9931,470.61,247.6613,70.3424,43.8174,74.73,12.0875,29.7633,166.0724,20.7072,81.0943,39.7963
2020-09-24,105.387,195.144,150.9895,473.08,248.1685,70.9925,44.1226,75.82,12.3111,29.5197,174.0941,20.7784,81.0244,39.9592
2020-09-25,109.3407,199.5907,154.7565,482.88,253.4297,71.8211,44.8227,78.055,12.8353,29.8124,173.9513,20.9119,81.7327,40.3278
2020-09-28,111.9506,201.1465,158.7025,490.65,255.4188,72.7933,46.16,79.48,12.9961,30.2515,177.6276,21.4461,84.0849,41.4766
2020-09-29,111.1033,199.0529,157.244,493.48,260.3617,73.0324,45.9446,81.77,13.1862,29.8611,175.5931,21.1612,83.3766,40.4993
